label	MedL	K_str	K_idx	RCor_score	RCor_text_fragment	KImp_score	KImp_text_fragment	keywords	MedL_id	bk_location
0	拉莫三嗪治疗难治性癫痫的血药浓度影响因素分析.目的:探讨拉莫三嗪(LTG)治疗难治性癫痫时,血药浓度与疗效、剂量、合并用药、年龄之间的关系.方法:收集难治性癫痫患者119例,随机将其分为2组:LTG治疗组、LTG与丙戊酸(valproic acid,VPA)联合治疗组,再将每组按年龄分为18 ～40岁组、40岁以上组.采用高效液相色谱法(HPLC)测定LTG浓度.结论:LTG治疗难治性癫痫应综合考虑患者病情、年龄、合并用药、剂量等因素,动态监测血药浓度,及时调整治疗方案,将血药浓度控制在一个有效合理的范围内,达到最佳治疗效果.	难治性癫痫,治疗方案,拉莫三嗪	7,9850,9157	3	拉莫三嗪治疗难治性癫痫的血药浓度影响因素分析	3	拉莫三嗪治疗难治性癫痫的血药浓度影响因素分析.目的:探讨拉莫三嗪(LTG)治疗难治性癫痫时,血药浓度与疗效、剂量、合并用药、年龄之间的关系.拉莫三嗪%血药浓度%癫痫%年龄%合并用药%疗效.	拉莫三嗪%血药浓度%癫痫%年龄%合并用药%疗效	49728588	31892
0	血清降钙素原在儿童重症细菌感染.目的:对血清降钙素原在儿童重症细菌感染疾病诊断中的应用效果进行评断.方法:选取我院2017年1月-2018年1月入治的重症细菌感染患儿50例为观察组,病毒感染患儿50例为对照组I,非感染性疾病患儿50例为对照组II,所有患儿通过血清降钙素原检测方法进行检测,对患儿的检测结果进行比较.结果:观察组患儿的检出率明显高于对照组I、II,且组间对照有明显差异,有统计学价值P<0.05.对两组患儿的血清降钙素原、C- 反应蛋白、白细胞计数水平进行对比,I组患儿的水平高于对照组I、II患儿数值,且组间有明显差异,有统计学价值,P<0.05.结论:通过血清降钙素原可以更好地对患儿的感染类型进行鉴定,效果显著,值得广泛应用推广.	细菌感染,实验室检查,降钙素原	2510,9870,4929	3	目的:对血清降钙素原在儿童重症细菌感染疾病诊断中的应用效果进行评断	3	血清降钙素原在儿童重症细菌感染.目的:对血清降钙素原在儿童重症细菌感染疾病诊断中的应用效果进行评断.血清降钙素原%儿童%重症%细菌感染.	血清降钙素原%儿童%重症%细菌感染	48997199	24665
0	疏血通注射液合依达拉奉治疗脑梗死后血管性痴呆效果分析.目的:研究采用疏血通注射液联合依达拉奉治疗脑梗死后血管性痴呆患者的疗效.方法:选取我院2016年7月～2018年9月收治的脑梗死后血管性痴呆患者84例,以随机数字表法分为对照组和研究组各42例.对照组采用依达拉奉治疗,研究组在对照组治疗基础上加用疏血通注射液治疗,观察比较两组治疗前后的简易生存质量量表评分,简易智能精神状态检查量表评分,ADL日常生活能力分值以及P300检测结果.结果:治疗前两组各项观察指标比较,差异无统计学意义(P＞0.05).治疗后研究组MOS SF-36、MMSE评分数值高于对照组,ADL分值低于对照组,P300潜伏期较对照组短,波幅则较对照组增强,差异均有统计意义(P＜0.05).结论:采用疏血通注射液联合依达拉奉治疗脑梗死后血管性痴呆患者效果良好,能提高患者生存质量,日常生活能力和智能水平.	疏血通注射液,适应证,脑梗	4726,9881,28	3	疏血通注射液合依达拉奉治疗脑梗死后血管性痴呆效果分析	3	疏血通注射液合依达拉奉治疗脑梗死后血管性痴呆效果分析.目的:研究采用疏血通注射液联合依达拉奉治疗脑梗死后血管性痴呆患者的疗效.脑梗死%血管性痴呆%依达拉奉%疏血通注射液%生存质量.	脑梗死%血管性痴呆%依达拉奉%疏血通注射液%生存质量	49329959	14112
0	糖皮质激素联合小剂量环磷酰胺治疗重症系统性红斑狼疮效果分析.目的:探讨糖皮质激素联合小剂量环磷酰胺在重症系统性红斑狼疮临床治疗中的应用效果.方法:选取我院2017年7月—2018年5月收治的94例系统性红斑狼患者作为对象,随机分为观察组(糖皮质激素联合小剂量环磷酰胺治疗)和对照组(糖皮质激素)各47例,观察两组患者的治疗恢复情况.结论:在重症系统性红斑狼疮的临床治疗中,糖皮质激素联合小剂量环磷酰胺治疗是一种良好的选择,能够安全、有效的治疗疾病,缓解患者的身心痛苦.	环磷酰胺,适应证,红斑狼疮	1364,9881,9615	3	糖皮质激素联合小剂量环磷酰胺治疗重症系统性红斑狼疮效果分析	3	糖皮质激素联合小剂量环磷酰胺治疗重症系统性红斑狼疮效果分析.目的:探讨糖皮质激素联合小剂量环磷酰胺在重症系统性红斑狼疮临床治疗中的应用效果.糖皮质激素%环磷酰胺%重症系统性红斑狼疮.	糖皮质激素%环磷酰胺%重症系统性红斑狼疮	49129167	34497
0	格列吡嗪联合二甲双胍对老年初诊2型糖尿病治疗的效果分析.目的:观察并分析对老年初诊2型糖尿病患者使用格列吡嗪联合二甲双胍进行治疗的治疗效果.方法:以2016年1月～2019年3月于本院初诊为2型糖尿病的老年患者180例为对象展开研究,将患者随机分为两组,对照组患者90例,服用二甲双胍进行治疗,观察组患者90例,在服用二甲双胍的基础上加用格列吡嗪进行治疗,观察两组患者的治疗效果和不良反应发生情况.结论:老年初诊2型糖尿病患者在二甲双胍治疗基础上加用格列吡嗪可取得较好效果,有利于血糖控制,且不会明显增加低血糖等不良反应的发生,安全性相对较高.	糖尿病,药物治疗,二甲双胍	7948,9864,1395	3	格列吡嗪联合二甲双胍对老年初诊2型糖尿病治疗的效果分析	3	格列吡嗪联合二甲双胍对老年初诊2型糖尿病治疗的效果分析.目的:观察并分析对老年初诊2型糖尿病患者使用格列吡嗪联合二甲双胍进行治疗的治疗效果.格列吡嗪%二甲双胍%老年初诊2型糖尿病.	格列吡嗪%二甲双胍%老年初诊2型糖尿病	50299057	3164
0	微创治疗前列腺增生症合并膀胱结石的护理效果观察.目的:本次研究主要针对微创治疗前列腺增生症合并膀胱结石患者采用优质护理的具体效果开展分析.方法:本次研究在2018年4月-2019年4月这个时间段内开展调查,所选取的调查对象为我院诊治的微创治疗前列腺增生症合并膀胱结石患者90例,按照患者所采用护理方法的不同将其分成优质组与普通组.优质组的45例患者接受优质护理,普通组的45例患者接受普通护理.结果:优质组患者的并发症发生率低于普通组,p<0.05.结论:临床前列腺增生症合并膀胱结石患者在微创治疗的同时充分利用优质护理,能够尽可能的预防并发症的发生.	前列腺增生,并发症,膀胱结石	5493,9852,9788	3	微创治疗前列腺增生症合并膀胱结石的护理效果观察	3	微创治疗前列腺增生症合并膀胱结石的护理效果观察.目的:本次研究主要针对微创治疗前列腺增生症合并膀胱结石患者采用优质护理的具体效果开展分析.前列腺增生症合并膀胱结石%微创治疗%优质护理%并发症.	前列腺增生症合并膀胱结石%微创治疗%优质护理%并发症	49529023	18418
0	枸地氯雷他定片治疗过敏性鼻炎的疗效及安全性分析.目的 探讨枸地氯雷他定片对过敏性鼻炎的疗效与安全性.方法 以60例过敏性鼻炎患者为研究对象,将其平均分为2组.对照组30例以氯雷他定治疗,观察组30例患者选择枸地氯雷他定治疗,对比分析2组患者的疗效.结果 观察组总有效率与对照组相比显著升高(P<0.05),不良反应发生率与对照组相比明显降低(P<0.05).结论 枸地氯雷他定用于过敏性鼻炎能够提高治疗效果,且安全性较好,临床价值较高.	枸地氯雷他定片,适应症,过敏性鼻炎	7569,9871,330	3	枸地氯雷他定片治疗过敏性鼻炎的疗效及安全性分析	3	枸地氯雷他定片治疗过敏性鼻炎的疗效及安全性分析.目的 探讨枸地氯雷他定片对过敏性鼻炎的疗效与安全性.过敏性鼻炎%枸地氯雷他定片%疗效%安全性.	过敏性鼻炎%枸地氯雷他定片%疗效%安全性	48929406	22472
0	术前肾动脉栓塞联合腹腔镜下肿瘤剜除术治疗巨大肾错构瘤的初步探讨.目的 初步探讨肾动脉栓塞联合腹腔镜下肿瘤剜除术治疗巨大肾错构瘤的临床疗效.方法 回顾性分析2013年7月至2018年2月收治接受肾动脉栓塞联合腹腔镜下肿瘤剜除术8例巨大肾错构瘤的临床资料.结论 肾动脉栓塞联合腹腔镜下肿瘤剜除可安全有效地治疗巨大肾错构瘤,短期随访结果显示治疗效果满意,值得临床推广.	肾错构瘤,治疗方案,栓塞	3699,9850,875	3	术前肾动脉栓塞联合腹腔镜下肿瘤剜除术治疗巨大肾错构瘤的初步探讨	3	术前肾动脉栓塞联合腹腔镜下肿瘤剜除术治疗巨大肾错构瘤的初步探讨.目的 初步探讨肾动脉栓塞联合腹腔镜下肿瘤剜除术治疗巨大肾错构瘤的临床疗效.肾动脉栓塞%腹腔镜%肿瘤剜除%巨大肾错构瘤.	肾动脉栓塞%腹腔镜%肿瘤剜除%巨大肾错构瘤	49420914	45015
0	腔镜手术治疗自发性气胸的复张时间、感染情况的观察.目的:观察腔镜手术治疗自发性气胸的复张时间 、感染情况.方法:选取80例自发性气胸患者均分为对照组于观察组,对照组接受开胸手术,观察组接受三孔法胸腔镜手术.记录手术一般情况和术后肺部感染情况.结果:观察组术后疼痛评分 、手术时间 、术后胸腔积液引流量 、术后肺复张时间均显著低于对照组(P<0.05);两组术后肺复张情况,差异无统计学意义(P>0.05);观察组术后肺部感染率显著低于对照组(P<0.05);观察组术后革兰阴性 、阳性菌株数均显著低于对照组(P<0.05).结论:腔镜手术治疗自发性气胸疗效显著,术后复张时间短,无明显术后感染情况,值得推广使用.	气胸,临床症状及体征,感染	9585,9860,2019	3	结论:腔镜手术治疗自发性气胸疗效显著,术后复张时间短,无明显术后感染情况,值得推广使用	3	腔镜手术治疗自发性气胸的复张时间、感染情况的观察.目的:观察腔镜手术治疗自发性气胸的复张时间 、感染情况.胸腔镜手术%自发性气胸%复张时间%感染情况.	胸腔镜手术%自发性气胸%复张时间%感染情况	49856292	5079
0	用阿奇霉素联合红霉素对肺炎支原体肺炎患儿进行治疗的效果研究.目的:探讨使用阿奇霉素联合红霉素对肺炎支原体肺炎患儿进行治疗的临床效果.方法:将2017年1月至2018年1月在莱芜市中医医院进行治疗的140例肺炎支原体肺炎患儿分为Control组(n=70)和Research组(n=70).对Control组患儿使用红霉素进行治疗.对Research组患儿使用阿奇霉素联合红霉素进行治疗.然后,比较两组患儿体内肺炎支原体IgM抗体的阳性情况和治疗的效果.结果:治疗后,Research组患儿体内肺炎支原体IgM抗体的阳性率低于Control组患儿,P<0.05;其治疗的总有效率高于Control组患儿,P<0.05.结论:对肺炎支原体肺炎患儿使用阿奇霉素联合红霉素进行治疗,可有效地控制其病情的进展.	红霉素,适应证,肺炎	6311,9881,6449	3	用阿奇霉素联合红霉素对肺炎支原体肺炎患儿进行治疗的效果研究	3	用阿奇霉素联合红霉素对肺炎支原体肺炎患儿进行治疗的效果研究.目的:探讨使用阿奇霉素联合红霉素对肺炎支原体肺炎患儿进行治疗的临床效果.肺炎支原体肺炎%阿奇霉素%红霉素.	肺炎支原体肺炎%阿奇霉素%红霉素	49969774	3682
0	门冬酰胺酶治疗小儿急性淋巴细胞白血病过程中血栓弹力图的检测及其临床意义.目的:了解对急性淋巴细胞白血病(ALL)患儿使用门冬酰胺酶治疗后其体内出凝血状态,探讨引起这种变化的主要因素,为进一步指导临床治疗提供理论依据.方法:对使用门冬酰胺酶治疗后的ALL患儿在该药物的半衰期内使用血栓弹力图(TEG)检测体内的出凝血状态,并与对照组进行对比分析;将同期检测的活化部分凝血酶时间(APTT)、凝血酶原时间(PT)、纤维蛋白原(Fib)、血小板(PLT)与TEG中的综合凝血指数(CI)进行相关性分析.结论:采用门冬酰胺酶治疗后ALL患儿总体处于低凝状态,主要表现是纤维蛋白原水平及活性低下,其次为血小板数量及功能低下.在治疗过程中可根据TEG检测来指导临床输血,避免患儿发生严重出血.	门冬酰胺酶,适应证,急性淋巴细胞白血病	1140,9881,3360	3	门冬酰胺酶治疗小儿急性淋巴细胞白血病过程中血栓弹力图的检测及其临床意义	3	门冬酰胺酶治疗小儿急性淋巴细胞白血病过程中血栓弹力图的检测及其临床意义.目的:了解对急性淋巴细胞白血病(ALL)患儿使用门冬酰胺酶治疗后其体内出凝血状态,探讨引起这种变化的主要因素,为进一步指导临床治疗提供理论依据.血栓弹力图%急性淋巴细胞白血病%门冬酰胺酶%儿童.	血栓弹力图%急性淋巴细胞白血病%门冬酰胺酶%儿童	49827969	43390
0	人际心理治疗与认知行为治疗对广泛性焦虑障碍治疗效果的对照研究.目的:以广泛性焦虑障碍患者为例,分析人际心理治疗与认知行为治疗的治疗效果.方法:以医院2016年9月至2018年9月收治的80名广泛性焦虑障碍患者为研究对象[1].将患者随机分为实验组与对照组,每组患者45人.实验组采用以人际心理治疗为主的治疗方案.对照组采用以认知行为治疗为主的治疗方案.分析两组患者的汉密尔顿焦虑量表评分、汉密尔顿抑郁量表评分与生活质量评分[2].结果:两组患者的汉密尔顿焦虑量表评分及汉密尔顿抑郁量表评分无明显差异(P>0.05).对照组患者的生活质量评分优于实验组,差异具有统计学意义(P<0.05).结论:人际心理治疗与认知行为治疗均可以在广泛性焦虑障碍治疗方面取得较为显著的疗效.同人际心理治疗相比,认知行为治疗更有助于提升患者的生活质量,认知行为治疗的临床价值更为显著[3].	广泛性焦虑障碍,辅助治疗,认知行为治疗	7979,9899,1640	3	人际心理治疗与认知行为治疗对广泛性焦虑障碍治疗效果的对照研究	3	人际心理治疗与认知行为治疗对广泛性焦虑障碍治疗效果的对照研究.目的:以广泛性焦虑障碍患者为例,分析人际心理治疗与认知行为治疗的治疗效果.人际心理治疗%认知行为治疗%广泛性焦虑障碍.	人际心理治疗%认知行为治疗%广泛性焦虑障碍	49346027	4121
0	3种促排卵药物治疗多囊卵巢综合征性不孕症的 临床疗效对比.目的 对3种促排卵药物(氯米芬、他莫昔芬及来曲唑)治疗多囊卵巢综合征性不孕症的临床疗效予以评价,为临床医师选择合理用药方案提供参考.方法 将本院2016年2月至2017年10月间所接诊的180例多囊卵巢综合征性不孕症患者纳入本次研究,以随机数字表法将入选患者分为采用来曲唑治疗的A组、他莫昔芬治疗的B组和氯米芬治疗的C组,每组均为60例,以HCG当日子宫内膜厚度、血清E2、P、LH水平、成熟卵泡数以及1年内临床妊娠、早期流产、OHSS发生率等作为优劣评价之参考项目.结论 针对多囊卵巢综合征性不孕症患者在临床行促排卵治疗的过程中,来曲唑的临床应用效果比氯米芬与他莫昔芬好,其不仅可对患者的激素状态有所改善,而且在卵泡排放、发育以及提高临床妊娠率方面也有一定优势.	多囊卵巢综合征,治疗方案,药物治疗	8377,9850,9864	3	3种促排卵药物治疗多囊卵巢综合征性不孕症的 临床疗效对比	3	3种促排卵药物治疗多囊卵巢综合征性不孕症的 临床疗效对比.目的 对3种促排卵药物(氯米芬、他莫昔芬及来曲唑)治疗多囊卵巢综合征性不孕症的临床疗效予以评价,为临床医师选择合理用药方案提供参考.氯米芬%他莫昔芬%来曲唑%多囊卵巢综合征%不孕症%临床疗效.	氯米芬%他莫昔芬%来曲唑%多囊卵巢综合征%不孕症%临床疗效	49804677	34895
0	不同剂量黄体酮软胶囊治疗无排卵型月经失调临床效果观察.目的 无排卵型月经失调患者采用不同剂量黄体酮软胶囊的治疗效果及作用.方法 150例无排卵型月经失调患者,采用抽签法分为实验组和参照组,每组75例.参照组采用常规剂量黄体酮软胶囊进行治疗,实验组采用大剂量黄体酮软胶囊进行治疗,观察并比较两组患者阴道不规则出血持续时间、整体治疗时间;疗效及不良反应(恶心、头晕、呕吐)发生情况.结果 实验组患者阴道不规则出血持续时间、整体治疗时间均短于参照组,差异具有统计学意义(P<0.05);实验组总有效率为92.00％,高于参照组的66.67％,差异具有统计学意义(P<0.05);两组不良反应发生率比较,差异无统计学意义(P>0.05).结论 针对无排卵型月经失调患者实施大剂量黄体酮治疗,治疗月经失调的临床效果显著,应予以临床推广.	黄体酮,适应证,月经失调	6778,9881,7035	3	不同剂量黄体酮软胶囊治疗无排卵型月经失调临床效果观察	3	不同剂量黄体酮软胶囊治疗无排卵型月经失调临床效果观察.目的 无排卵型月经失调患者采用不同剂量黄体酮软胶囊的治疗效果及作用.不同剂量%黄体酮软胶囊%无排卵型月经失调.	不同剂量%黄体酮软胶囊%无排卵型月经失调	49408678	44933
